Diagnoser i sluten vård, Vårdtillfällen/100 000 inv, Riket, Ålder: 0-85+
År;Kön;Ålder;A39 Meningokockinfektion;A40 Sepsis orsakad av streptokocker;A41 Annan sepsis
2007;Kvinnor;60­64;0,98;18,98;101,75
2007;Kvinnor;65­69;0,44;26,22;143,09
2007;Kvinnor;70­74;0,54;30,08;205,71
2007;Kvinnor;75­79;0,00;34,52;312,95
2007;Kvinnor;80­84;1,33;52,38;442,92
2007;Kvinnor;85+;1,24;83,13;642,06
2006;Män;0­4;2,71;6,18;19,71
2006;Män;5­9;2,08;1,66;22,04
2006;Män;10­14;0,67;2,01;19,10
2006;Män;15­19;1,60;0,96;12,47
2006;Män;20­24;1,46;2,19;7,68
2006;Män;25­29;1,08;1,80;11,50
2006;Män;30­34;0,32;3,89;12,32
2006;Män;35­39;0,31;5,88;22,59
2006;Män;40­44;0,30;8,48;26,65
2006;Män;45­49;0,00;10,79;39,45
2006;Män;50­54;1,37;14,69;62,50
2006;Män;55­59;0,00;17,63;96,82
2006;Män;60­64;0,34;32,07;162,38
2006;Män;65­69;0,48;38,76;240,20
2006;Män;70­74;0,00;54,84;339,49
2006;Män;75­79;0,00;66,43;529,24
2006;Män;80­84;0,97;92,58;864,43
2006;Män;85+;1,34;155,75;1318,51
2006;Kvinnor;0­4;1,63;9,77;31,74
2006;Kvinnor;5­9;0,00;3,51;22,82
2006;Kvinnor;10­14;0,70;0,70;14,79
2006;Kvinnor;15­19;2,02;1,35;16,19
2006;Kvinnor;20­24;0,00;1,92;18,40
2006;Kvinnor;25­29;1,87;3,74;15,69
2006;Kvinnor;30­34;0,34;3,02;17,80
2006;Kvinnor;35­39;0,00;7,06;23,75
2006;Kvinnor;40­44;0,32;6,33;34,81
2006;Kvinnor;45­49;0,00;9,37;37,15
2006;Kvinnor;50­54;0,00;8,36;63,01
2006;Kvinnor;55­59;0,65;17,11;53,91
2006;Kvinnor;60­64;0,68;15,71;96,98
2006;Kvinnor;65­69;0,46;25,76;112,23
2006;Kvinnor;70­74;1,08;22,15;188,54
2006;Kvinnor;75­79;2,85;40,48;295,31
2006;Kvinnor;80­84;0,00;70,17;410,64
2006;Kvinnor;85+;1,27;73,55;656,88
2005;Män;0­4;1,98;4,76;26,59
2005;Män;5­9;0,41;1,64;11,92
2005;Män;10­14;0,32;1,93;15,75
2005;Män;15­19;0,33;0,66;14,28
2005;Män;20­24;1,12;2,61;10,45
2005;Män;25­29;0,72;1,44;12,26
2005;Män;30­34;0,00;5,15;12,55
2005;Män;35­39;0,30;6,08;21,89
2005;Män;40­44;0,31;6,26;22,22
2005;Män;45­49;0,67;12,11;38,36
2005;Män;50­54;0,68;12,96;56,61
2005;Män;55­59;0,31;22,52;86,93
2005;Män;60­64;1,07;28,62;143,80
2005;Män;65­69;0,49;31,62;208,98
2005;Män;70­74;0,62;45,33;332,22
2005;Män;75­79;0,74;59,55;519,03
2005;Män;80­84;0,00;77,58;776,76
2005;Män;85+;0,00;161,40;1428,51
2005;Kvinnor;0­4;3,35;5,86;23,85
2005;Kvinnor;5­9;0,43;0,87;22,51
2005;Kvinnor;10­14;1,35;1,01;13,86
2005;Kvinnor;15­19;3,15;0,70;14,02
2005;Kvinnor;20­24;0,78;1,95;11,68
2005;Kvinnor;25­29;0,75;3,36;13,83
2005;Kvinnor;30­34;0,00;4,66;16,96
2005;Kvinnor;35­39;0,00;9,82;22,49
2005;Kvinnor;40­44;0,00;7,50;22,84
2005;Kvinnor;45­49;1,39;6,24;36,75
2005;Kvinnor;50­54;0,00;15,63;49,66
2005;Kvinnor;55­59;1,58;18,62;70,71
2005;Kvinnor;60­64;0,00;18,09;86,13
2005;Kvinnor;65­69;0,00;24,02;137,04
2005;Kvinnor;70­74;0,54;36,01;188,10
2005;Kvinnor;75­79;1,13;36,11;286,64
2005;Kvinnor;80­84;3,80;49,99;386,60
2005;Kvinnor;85+;0,66;87,03;547,26
2004;Män;0­4;4,06;6,91;34,95
2004;Män;5­9;1,59;0,79;13,12
2004;Män;10­14;0,94;0,94;6,28
2004;Män;15­19;4,14;0,35;12,42
2004;Män;20­24;0,75;2,26;6,77
2004;Män;25­29;1,07;3,57;11,06
2004;Män;30­34;0,64;3,54;10,31
2004;Män;35­39;0,00;6,24;19,90
2004;Män;40­44;0,32;8,08;30,07
2004;Män;45­49;0,00;8,42;35,35
2004;Män;50­54;1,01;13,45;59,50
2004;Män;55­59;0,00;16,00;84,64
2004;Män;60­64;0,00;21,35;136,14
2004;Män;65­69;0,51;34,27;213,28
2004;Män;70­74;0,00;39,75;332,28
2004;Män;75­79;0,00;67,81;525,74
2004;Män;80­84;0,00;90,66;817,85
2004;Män;85+;0,00;156,84;1210,34
2004;Kvinnor;0­4;4,29;4,29;24,88
2004;Kvinnor;5­9;0,42;0,00;12,54
2004;Kvinnor;10­14;0,66;0,33;7,60
2004;Kvinnor;15­19;3,28;1,09;12,40
2004;Kvinnor;20­24;3,13;1,17;14,49
2004;Kvinnor;25­29;0,00;2,96;17,74
