Sex	Age	Year	Month	J09	J10	J11
M	5–9	2004	Januari	0	1	5
M	5–9	2004	Februari	0	1	0
M	5–9	2004	Mars	0	0	0
M	5–9	2004	April	0	0	0
M	5–9	2004	Maj	0	0	0
M	5–9	2004	Juni	0	0	0
M	5–9	2004	Juli	0	0	0
M	5–9	2004	Augusti	0	0	0
M	5–9	2004	September	0	1	1
M	5–9	2004	Oktober	0	0	1
M	5–9	2004	November	0	0	0
M	5–9	2004	December	0	0	0
M	5–9	2005	Januari	0	1	0
M	5–9	2005	Februari	0	1	1
M	5–9	2005	Mars	0	1	2
M	5–9	2005	April	0	0	0
M	5–9	2005	Maj	0	0	0
M	5–9	2005	Juni	0	0	1
M	5–9	2005	Juli	0	0	0
M	5–9	2005	Augusti	0	0	0
M	5–9	2005	September	0	0	0
M	5–9	2005	Oktober	0	0	0
M	5–9	2005	November	0	0	0
M	5–9	2005	December	0	0	0
M	5–9	2006	Januari	0	0	0
M	5–9	2006	Februari	0	1	0
M	5–9	2006	Mars	0	7	2
M	5–9	2006	April	0	1	0
M	5–9	2006	Maj	0	0	0
M	5–9	2006	Juni	0	0	0
M	5–9	2006	Juli	0	0	0
M	5–9	2006	Augusti	0	0	0
M	5–9	2006	September	0	0	0
M	5–9	2006	Oktober	0	0	1
M	5–9	2006	November	0	0	0
M	5–9	2006	December	0	0	1
M	5–9	2007	Januari	0	0	0
M	5–9	2007	Februari	0	3	1
M	5–9	2007	Mars	0	2	4
M	5–9	2007	April	0	1	0
M	5–9	2007	Maj	0	0	0
M	5–9	2007	Juni	0	0	0
M	5–9	2007	Juli	0	0	0
M	5–9	2007	Augusti	0	0	0
M	5–9	2007	September	0	0	1
M	5–9	2007	Oktober	0	0	1
M	5–9	2007	November	0	0	0
M	5–9	2007	December	0	0	0
M	5–9	2008	Januari	0	0	0
M	5–9	2008	Februari	0	4	0
M	5–9	2008	Mars	0	4	0
M	5–9	2008	April	0	2	0
M	5–9	2008	Maj	0	0	0
M	5–9	2008	Juni	0	0	0
M	5–9	2008	Juli	0	0	1
M	5–9	2008	Augusti	0	0	0
M	5–9	2008	September	0	1	0
M	5–9	2008	Oktober	0	0	0
M	5–9	2008	November	0	0	0
M	5–9	2008	December	0	1	0
M	5–9	2009	Januari	0	5	3
M	5–9	2009	Februari	0	3	0
M	5–9	2009	Mars	0	0	0
M	5–9	2009	April	0	1	0
M	5–9	2009	Maj	0	0	0
M	5–9	2009	Juni	0	0	0
M	5–9	2009	Juli	0	0	0
M	5–9	2009	Augusti	1	0	1
M	5–9	2009	September	3	0	0
M	5–9	2009	Oktober	8	0	2
M	5–9	2009	November	30	3	5
M	5–9	2009	December	2	1	1
M	5–9	2010	Januari	0	0	0
M	5–9	2010	Februari	0	0	0
M	5–9	2010	Mars	0	0	0
M	5–9	2010	April	0	2	0
M	5–9	2010	Maj	0	0	0
M	5–9	2010	Juni	0	0	0
M	5–9	2010	Juli	0	0	0
M	5–9	2010	Augusti	0	0	0
M	5–9	2010	September	0	0	0
M	5–9	2010	Oktober	0	0	0
M	5–9	2010	November	0	0	1
M	5–9	2010	December	0	0	0
M	5–9	2011	Januari	2	2	1
M	5–9	2011	Februari	2	3	3
M	5–9	2011	Mars	4	4	1
M	5–9	2011	April	1	1	0
M	5–9	2011	Maj	0	0	0
M	5–9	2011	Juni	0	0	0
M	5–9	2011	Juli	0	0	0
M	5–9	2011	Augusti	0	0	0
M	5–9	2011	September	0	0	0
M	5–9	2011	Oktober	0	0	0
M	5–9	2011	November	0	0	0
M	5–9	2011	December	1	0	0
M	5–9	2012	Januari	0	0	2
M	5–9	2012	Februari	6	3	1
M	5–9	2012	Mars	3	5	2
M	5–9	2012	April	0	0	1
M	5–9	2012	Maj	0	0	0
M	5–9	2012	Juni	0	0	0
M	5–9	2012	Juli	0	0	0
M	5–9	2012	Augusti	0	0	0
M	5–9	2012	September	0	0	0
M	5–9	2012	Oktober	0	0	0
M	5–9	2012	November	0	0	0
M	5–9	2012	December	0	1	0
M	5–9	2013	Januari	2	2	1
M	5–9	2013	Februari	5	3	1
M	5–9	2013	Mars	4	9	1
M	5–9	2013	April	1	2	1
M	5–9	2013	Maj	0	1	0
M	5–9	2013	Juni	0	0	0
M	5–9	2013	Juli	0	0	0
M	5–9	2013	Augusti	0	0	0
M	5–9	2013	September	0	0	0
M	5–9	2013	Oktober	0	1	0
M	5–9	2013	November	0	0	0
M	5–9	2013	December	0	0	0
M	5–9	2014	Januari	2	0	0
M	5–9	2014	Februari	2	1	1
M	5–9	2014	Mars	1	0	1
M	5–9	2014	April	0	0	0
M	5–9	2014	Maj	0	0	0
M	5–9	2014	Juni	0	0	0
M	5–9	2014	Juli	0	0	0
M	5–9	2014	Augusti	0	0	0
M	5–9	2014	September	0	0	0
M	5–9	2014	Oktober	0	0	0
M	5–9	2014	November	0	0	0
M	5–9	2014	December	0	0	0
M	5–9	2015	Januari	0	1	1
M	5–9	2015	Februari	2	2	2
M	5–9	2015	Mars	3	4	0
M	5–9	2015	April	1	1	0
M	5–9	2015	Maj	0	0	0
M	5–9	2015	Juni	0	1	0
M	5–9	2015	Juli	0	0	0
M	5–9	2015	Augusti	0	0	0
M	5–9	2015	September	0	0	0
M	5–9	2015	Oktober	1	0	0
M	5–9	2015	November	0	0	0
M	5–9	2015	December	3	0	1
M	5–9	2016	Januari	6	6	4
M	5–9	2016	Februari	9	13	2
M	5–9	2016	Mars	2	12	2
M	5–9	2016	April	0	3	2
M	5–9	2016	Maj	0	1	0
M	5–9	2016	Juni	0	0	0
M	5–9	2016	Juli	0	0	0
M	5–9	2016	Augusti	0	0	0
M	5–9	2016	September	0	0	0
M	5–9	2016	Oktober	0	0	0
M	5–9	2016	November	0	1	0
M	5–9	2016	December	1	3	0
M	5–9	2017	Januari	3	1	1
M	5–9	2017	Februari	3	5	1
M	5–9	2017	Mars	0	1	0
M	5–9	2017	April	0	0	0
M	5–9	2017	Maj	0	0	0
M	5–9	2017	Juni	0	0	0
M	5–9	2017	Juli	0	0	0
M	5–9	2017	Augusti	0	0	0
M	5–9	2017	September	0	0	0
M	5–9	2017	Oktober	0	0	0
M	5–9	2017	November	0	0	0
M	5–9	2017	December	0	1	0
M	5–9	2018	Januari	1	12	1
M	5–9	2018	Februari	1	19	2
M	5–9	2018	Mars	0	9	2
M	5–9	2018	April	1	4	0
M	5–9	2018	Maj	0	0	0
M	5–9	2018	Juni	0	0	0
M	5–9	2018	Juli	0	1	0
M	5–9	2018	Augusti	0	0	0
M	5–9	2018	September	0	0	0
M	5–9	2018	Oktober	0	0	1
M	5–9	2018	November	0	0	0
M	5–9	2018	December	0	9	2
M	5–9	2019	Januari	0	16	3
M	5–9	2019	Februari	0	17	2
M	5–9	2019	Mars	0	5	0
M	5–9	2019	April	0	5	0
M	5–9	2019	Maj	0	0	0
M	5–9	2019	Juni	0	0	0
M	5–9	2019	Juli	0	0	0
M	5–9	2019	Augusti	0	0	0
M	5–9	2019	September	0	0	0
M	5–9	2019	Oktober	0	0	0
M	5–9	2019	November	0	0	0
M	5–9	2019	December	0	4	0
M	5–9	2020	Januari	0	11	0
M	5–9	2020	Februari	0	29	1
M	5–9	2020	Mars	1	10	1
M	5–9	2020	April	0	0	0
M	5–9	2020	Maj	0	0	0
M	5–9	2020	Juni	0	0	0
M	5–9	2020	Juli	0	0	0
M	5–9	2020	Augusti	0	0	0
M	5–9	2020	September	0	0	0
M	5–9	2020	Oktober	0	0	0
M	5–9	2020	November	0	0	0
M	5–9	2020	December	0	0	0
M	5–9	2021	Januari	0	0	0
M	5–9	2021	Februari	0	0	0
M	5–9	2021	Mars	0	1	0
M	5–9	2021	April	0	0	0
M	5–9	2021	Maj	0	0	0
M	5–9	2021	Juni	0	0	0
M	5–9	2021	Juli	0	0	0
M	5–9	2021	Augusti	0	1	0
M	5–9	2021	September	0	0	0
M	5–9	2021	Oktober	0	1	0
M	5–9	2021	November	0	1	0
M	5–9	2021	December	2	24	1
M	10–14	1998	Januari	0	0	1
M	10–14	1998	Februari	0	2	3
M	10–14	1998	Mars	0	0	2
M	10–14	1998	April	0	0	0
M	10–14	1998	Maj	0	0	0
M	10–14	1998	Juni	0	0	0
M	10–14	1998	Juli	0	0	0
M	10–14	1998	Augusti	0	0	0
M	10–14	1998	September	0	0	0
M	10–14	1998	Oktober	0	0	0
M	10–14	1998	November	0	0	0
M	10–14	1998	December	0	0	0
M	10–14	1999	Januari	0	0	1
M	10–14	1999	Februari	0	0	3
M	10–14	1999	Mars	0	0	0
M	10–14	1999	April	0	0	0
M	10–14	1999	Maj	0	0	1
M	10–14	1999	Juni	0	0	0
M	10–14	1999	Juli	0	1	0
M	10–14	1999	Augusti	0	0	0
M	10–14	1999	September	0	0	0
M	10–14	1999	Oktober	0	0	0
M	10–14	1999	November	0	0	0
M	10–14	1999	December	0	2	1
M	10–14	2000	Januari	0	2	1
M	10–14	2000	Februari	0	0	0
M	10–14	2000	Mars	0	2	0
