ctry,yr,li,age,sex,ca1,ca2,rat
4290,1992,9,17,1,319,1717,0.185789
4290,1992,9,17,2,82,958,0.085595
4290,1992,9,18,1,637,2841,0.224217
4290,1992,9,18,2,212,1635,0.129664
4290,1992,9,19,1,1053,4594,0.229212
4290,1992,9,19,2,428,2726,0.157007
4290,1992,9,20,1,1725,6952,0.24813
4290,1992,9,20,2,791,4487,0.176287
4290,1992,9,21,1,1986,8504,0.233537
4290,1992,9,21,2,1222,6712,0.182062
4290,1992,9,22,1,1713,9169,0.186825
4290,1992,9,22,2,1642,9548,0.171973
4290,1992,9,23,1,1401,9733,0.143943
4290,1992,9,23,2,1943,17256,0.112599
4290,1993,9,1,1,9058,48858,0.185394
4290,1993,9,1,2,6508,47801,0.136148
4290,1993,9,2,1,0,327,0
4290,1993,9,2,2,0,237,0
4290,1993,9,3,1,0,17,0
4290,1993,9,3,2,0,19,0
4290,1993,9,4,1,0,17,0
4290,1993,9,4,2,0,13,0
4290,1993,9,5,1,0,17,0
4290,1993,9,5,2,0,12,0
4290,1993,9,6,1,0,15,0
4290,1993,9,6,2,0,6,0
4290,1993,9,7,1,0,51,0
4290,1993,9,7,2,0,33,0
4290,1993,9,8,1,0,44,0
4290,1993,9,8,2,0,34,0
4290,1993,9,9,1,0,130,0
4290,1993,9,9,2,0,69,0
4290,1993,9,10,1,1,217,0.004608
4290,1993,9,10,2,0,92,0
4290,1993,9,11,1,2,252,0.007937
4290,1993,9,11,2,0,109,0
4290,1993,9,12,1,5,297,0.016835
4290,1993,9,12,2,3,150,0.02
4290,1993,9,13,1,15,427,0.035129
4290,1993,9,13,2,3,208,0.014423
4290,1993,9,14,1,54,609,0.08867
4290,1993,9,14,2,6,319,0.018809
4290,1993,9,15,1,102,994,0.102616
4290,1993,9,15,2,14,632,0.022152
4290,1993,9,16,1,211,1276,0.165361
4290,1993,9,16,2,35,718,0.048747
4290,1993,9,17,1,348,1716,0.202797
4290,1993,9,17,2,79,976,0.080943
4290,1993,9,18,1,563,2633,0.213825
4290,1993,9,18,2,170,1551,0.109607
4290,1993,9,19,1,1034,4410,0.234467
4290,1993,9,19,2,349,2650,0.131698
4290,1993,9,20,1,1567,6878,0.227828
4290,1993,9,20,2,749,4494,0.166667
4290,1993,9,21,1,1912,8619,0.221835
4290,1993,9,21,2,1244,6719,0.185147
4290,1993,9,22,1,1815,9426,0.192553
4290,1993,9,22,2,1663,9944,0.167237
4290,1993,9,23,1,1429,10486,0.136277
4290,1993,9,23,2,2193,18816,0.11655
4290,1994,9,1,1,8574,46385,0.184844
4290,1994,9,1,2,5991,45065,0.132941
4290,1994,9,2,1,0,273,0
4290,1994,9,2,2,0,214,0
4290,1994,9,3,1,0,24,0
4290,1994,9,3,2,0,15,0
4290,1994,9,4,1,0,11,0
4290,1994,9,4,2,0,9,0
4290,1994,9,5,1,0,13,0
4290,1994,9,5,2,0,3,0
4290,1994,9,6,1,0,16,0
4290,1994,9,6,2,0,10,0
4290,1994,9,7,1,0,36,0
4290,1994,9,7,2,0,20,0
4290,1994,9,8,1,0,36,0
4290,1994,9,8,2,0,28,0
4290,1994,9,9,1,0,112,0
4290,1994,9,9,2,0,47,0
4290,1994,9,10,1,1,197,0.005076
4290,1994,9,10,2,0,70,0
4290,1994,9,11,1,2,263,0.007605
4290,1994,9,11,2,1,115,0.008696
4290,1994,9,12,1,5,303,0.016502
4290,1994,9,12,2,0,124,0
4290,1994,9,13,1,16,441,0.036281
4290,1994,9,13,2,5,234,0.021368
4290,1994,9,14,1,44,617,0.071313
4290,1994,9,14,2,13,331,0.039275
4290,1994,9,15,1,116,979,0.118488
4290,1994,9,15,2,26,646,0.040248
4290,1994,9,16,1,190,1271,0.149489
4290,1994,9,16,2,36,810,0.044444
4290,1994,9,17,1,323,1680,0.192262
4290,1994,9,17,2,76,984,0.077236
4290,1994,9,18,1,557,2536,0.219637
4290,1994,9,18,2,154,1506,0.102258
4290,1994,9,19,1,947,4066,0.232907
4290,1994,9,19,2,325,2374,0.1369
4290,1994,9,20,1,1529,6658,0.229649
4290,1994,9,20,2,710,4266,0.166432
4290,1994,9,21,1,1750,8040,0.217662
4290,1994,9,21,2,1091,6063,0.179944
4290,1994,9,22,1,1695,8930,0.18981
4290,1994,9,22,2,1522,9290,0.163832
4290,1994,9,23,1,1399,9883,0.141556
4290,1994,9,23,2,2032,17906,0.113482
4290,1995,9,1,1,8613,47428,0.181602
4290,1995,9,1,2,5939,46213,0.128514
4290,1995,9,2,1,0,241,0
4290,1995,9,2,2,0,175,0
4290,1995,9,3,1,0,21,0
4290,1995,9,3,2,0,9,0
4290,1995,9,4,1,0,13,0
4290,1995,9,4,2,0,10,0
4290,1995,9,5,1,0,6,0
4290,1995,9,5,2,0,5,0
4290,1995,9,6,1,0,10,0
4290,1995,9,6,2,0,10,0
4290,1995,9,7,1,0,35,0
4290,1995,9,7,2,0,23,0
4290,1995,9,8,1,0,37,0
4290,1995,9,8,2,0,24,0
4290,1995,9,9,1,0,117,0
4290,1995,9,9,2,0,56,0
4290,1995,9,10,1,2,197,0.010152
4290,1995,9,10,2,1,82,0.012195
4290,1995,9,11,1,0,215,0
4290,1995,9,11,2,0,101,0
4290,1995,9,12,1,1,305,0.003279
4290,1995,9,12,2,4,141,0.028369
4290,1995,9,13,1,23,365,0.063014
4290,1995,9,13,2,4,177,0.022599
4290,1995,9,14,1,40,595,0.067227
4290,1995,9,14,2,7,322,0.021739
4290,1995,9,15,1,134,980,0.136735
4290,1995,9,15,2,34,587,0.057922
4290,1995,9,16,1,208,1360,0.152941
4290,1995,9,16,2,41,840,0.04881
4290,1995,9,17,1,344,1660,0.207229
4290,1995,9,17,2,63,972,0.064815
4290,1995,9,18,1,529,2500,0.2116
4290,1995,9,18,2,150,1502,0.099867
4290,1995,9,19,1,850,4026,0.211128
4290,1995,9,19,2,313,2417,0.129499
4290,1995,9,20,1,1448,6534,0.22161
4290,1995,9,20,2,673,4123,0.163231
4290,1995,9,21,1,1780,8298,0.21451
4290,1995,9,21,2,1064,6398,0.166302
4290,1995,9,22,1,1693,9117,0.185697
4290,1995,9,22,2,1478,9360,0.157906
4290,1995,9,23,1,1561,10796,0.144591
4290,1995,9,23,2,2107,18879,0.111605
4290,1996,9,1,1,7881,46954,0.167845
4290,1996,9,1,2,5722,46861,0.122106
4290,1996,9,2,1,1,195,0.005128
4290,1996,9,2,2,0,169,0
4290,1996,9,3,1,0,23,0
4290,1996,9,3,2,0,15,0
4290,1996,9,4,1,0,8,0
4290,1996,9,4,2,0,7,0
4290,1996,9,5,1,0,10,0
4290,1996,9,5,2,0,7,0
4290,1996,9,6,1,0,15,0
4290,1996,9,6,2,0,5,0
4290,1996,9,7,1,0,34,0
4290,1996,9,7,2,0,29,0
4290,1996,9,8,1,0,32,0
4290,1996,9,8,2,0,26,0
4290,1996,9,9,1,0,93,0
4290,1996,9,9,2,0,47,0
4290,1996,9,10,1,1,170,0.005882
4290,1996,9,10,2,1,76,0.013158
4290,1996,9,11,1,1,233,0.004292
4290,1996,9,11,2,1,94,0.010638
4290,1996,9,12,1,6,284,0.021127
4290,1996,9,12,2,1,141,0.007092
4290,1996,9,13,1,10,361,0.027701
4290,1996,9,13,2,2,177,0.011299
4290,1996,9,14,1,31,532,0.058271
4290,1996,9,14,2,10,283,0.035336
4290,1996,9,15,1,95,884,0.107466
4290,1996,9,15,2,13,578,0.022491
4290,1996,9,16,1,203,1433,0.141661
4290,1996,9,16,2,36,897,0.040134
4290,1996,9,17,1,278,1604,0.173317
4290,1996,9,17,2,64,1029,0.062196
4290,1996,9,18,1,447,2445,0.182822
4290,1996,9,18,2,130,1415,0.091873
4290,1996,9,19,1,757,3935,0.192376
4290,1996,9,19,2,290,2318,0.125108
4290,1996,9,20,1,1313,6083,0.215847
4290,1996,9,20,2,615,4141,0.148515
4290,1996,9,21,1,1599,8254,0.193724
4290,1996,9,21,2,1051,6399,0.164244
4290,1996,9,22,1,1615,9094,0.17759
4290,1996,9,22,2,1400,9175,0.152589
4290,1996,9,23,1,1524,11232,0.135684
4290,1996,9,23,2,2108,19833,0.106288
4290,1997,10,1,1,7412,46720,0.158647
4290,1997,10,1,2,5189,46629,0.111283
4290,1997,10,2,1,0,190,0
4290,1997,10,2,2,0,138,0
4290,1997,10,3,1,0,20,0
4290,1997,10,3,2,0,24,0
4290,1997,10,4,1,0,4,0
4290,1997,10,4,2,0,11,0
4290,1997,10,5,1,0,13,0
4290,1997,10,5,2,0,7,0
4290,1997,10,6,1,0,14,0
4290,1997,10,6,2,0,1,0
4290,1997,10,7,1,0,53,0
4290,1997,10,7,2,0,22,0
4290,1997,10,8,1,0,28,0
4290,1997,10,8,2,0,31,0
4290,1997,10,9,1,1,77,0.012987
4290,1997,10,9,2,1,60,0.016667
4290,1997,10,10,1,1,199,0.005025
4290,1997,10,10,2,1,85,0.011765
4290,1997,10,11,1,0,201,0
4290,1997,10,11,2,0,77,0
4290,1997,10,12,1,3,264,0.011364
4290,1997,10,12,2,2,144,0.013889
4290,1997,10,13,1,11,374,0.029412
4290,1997,10,13,2,2,175,0.011429
4290,1997,10,14,1,39,519,0.075145
4290,1997,10,14,2,5,295,0.016949
4290,1997,10,15,1,86,836,0.102871
4290,1997,10,15,2,16,492,0.03252
4290,1997,10,16,1,205,1457,0.1407
4290,1997,10,16,2,39,906,0.043046
4290,1997,10,17,1,292,1696,0.17217
4290,1997,10,17,2,61,1002,0.060878
4290,1997,10,18,1,450,2427,0.185414
4290,1997,10,18,2,128,1365,0.093773
4290,1997,10,19,1,730,3774,0.193429
4290,1997,10,19,2,274,2226,0.123091
4290,1997,10,20,1,1165,5934,0.196326
4290,1997,10,20,2,547,3948,0.138551
4290,1997,10,21,1,1555,8373,0.185716
4290,1997,10,21,2,945,6357,0.148655
4290,1997,10,22,1,1501,8891,0.168822
4290,1997,10,22,2,1231,9130,0.13483
4290,1997,10,23,1,994,7225,0.137578
4290,1997,10,23,2,1198,10345,0.115805
4290,1997,10,24,1,332,3312,0.100242
4290,1997,10,24,2,592,7077,0.083651
4290,1997,10,25,1,47,839,0.056019
4290,1997,10,25,2,147,2711,0.054224
4290,1998,10,1,1,7265,46840,0.155102
4290,1998,10,1,2,5462,46788,0.116739
4290,1998,10,2,1,0,186,0
4290,1998,10,2,2,0,131,0
4290,1998,10,3,1,0,18,0
4290,1998,10,3,2,0,11,0
4290,1998,10,4,1,0,14,0
4290,1998,10,4,2,0,5,0
4290,1998,10,5,1,0,9,0
4290,1998,10,5,2,0,6,0
4290,1998,10,6,1,0,8,0
4290,1998,10,6,2,0,5,0
4290,1998,10,7,1,0,48,0
4290,1998,10,7,2,0,25,0
4290,1998,10,8,1,0,40,0
4290,1998,10,8,2,0,39,0
4290,1998,10,9,1,0,140,0
4290,1998,10,9,2,0,65,0
4290,1998,10,10,1,0,176,0
4290,1998,10,10,2,0,73,0
4290,1998,10,11,1,2,196,0.010204
4290,1998,10,11,2,0,70,0
4290,1998,10,12,1,2,271,0.00738
4290,1998,10,12,2,1,118,0.008475
4290,1998,10,13,1,16,355,0.04507
4290,1998,10,13,2,6,196,0.030612
4290,1998,10,14,1,42,477,0.08805
4290,1998,10,14,2,8,307,0.026059
4290,1998,10,15,1,78,785,0.099363
4290,1998,10,15,2,19,496,0.038306
4290,1998,10,16,1,182,1428,0.127451
4290,1998,10,16,2,40,874,0.045767
4290,1998,10,17,1,251,1746,0.143757
4290,1998,10,17,2,70,1083,0.064635
4290,1998,10,18,1,413,2406,0.171654
4290,1998,10,18,2,100,1437,0.069589
4290,1998,10,19,1,709,3716,0.190797
4290,1998,10,19,2,232,2203,0.105311
4290,1998,10,20,1,1031,5710,0.18056
4290,1998,10,20,2,507,3684,0.137622
4290,1998,10,21,1,1526,8432,0.180977
4290,1998,10,21,2,958,6462,0.148251
4290,1998,10,22,1,1446,8847,0.163445
4290,1998,10,22,2,1307,8969,0.145724
4290,1998,10,23,1,1085,7505,0.14457
4290,1998,10,23,2,1339,10529,0.127173
4290,1998,10,24,1,419,3499,0.119748
4290,1998,10,24,2,699,7282,0.09599
4290,1998,10,25,1,63,828,0.076087
4290,1998,10,25,2,176,2718,0.064753
4290,1999,10,1,1,7001,46782,0.149652
4290,1999,10,1,2,5155,48294,0.106742
4290,1999,10,2,1,0,185,0
4290,1999,10,2,2,0,115,0
4290,1999,10,3,1,0,8,0
4290,1999,10,3,2,0,14,0
4290,1999,10,4,1,0,7,0
4290,1999,10,4,2,0,9,0
4290,1999,10,5,1,0,6,0
4290,1999,10,5,2,0,3,0
4290,1999,10,6,1,0,5,0
4290,1999,10,6,2,0,4,0
4290,1999,10,7,1,0,41,0
4290,1999,10,7,2,0,33,0
4290,1999,10,8,1,0,54,0
4290,1999,10,8,2,0,26,0
4290,1999,10,9,1,0,98,0
4290,1999,10,9,2,0,49,0
4290,1999,10,10,1,1,183,0.005464
4290,1999,10,10,2,0,63,0
4290,1999,10,11,1,0,216,0
4290,1999,10,11,2,0,87,0
4290,1999,10,12,1,6,259,0.023166
4290,1999,10,12,2,1,119,0.008403
4290,1999,10,13,1,10,352,0.028409
4290,1999,10,13,2,5,168,0.029762
4290,1999,10,14,1,40,520,0.076923
4290,1999,10,14,2,12,332,0.036145
4290,1999,10,15,1,82,785,0.104459
4290,1999,10,15,2,19,522,0.036398
4290,1999,10,16,1,167,1393,0.119885
4290,1999,10,16,2,33,856,0.038551
4290,1999,10,17,1,245,1831,0.133807
4290,1999,10,17,2,72,1107,0.065041
4290,1999,10,18,1,380,2349,0.161771
4290,1999,10,18,2,134,1454,0.09216
4290,1999,10,19,1,623,3509,0.177543
4290,1999,10,19,2,229,2180,0.105046
4290,1999,10,20,1,1053,5552,0.189661
4290,1999,10,20,2,430,3614,0.118982
4290,1999,10,21,1,1447,8446,0.171324
4290,1999,10,21,2,920,6584,0.139733
4290,1999,10,22,1,1438,8795,0.163502
4290,1999,10,22,2,1176,9032,0.130204
4290,1999,10,23,1,1050,7642,0.137399
4290,1999,10,23,2,1236,11079,0.111562
4290,1999,10,24,1,381,3652,0.104326
4290,1999,10,24,2,701,7815,0.089699
4290,1999,10,25,1,78,894,0.087248
