ctry,yr,li,age,sex,ca1,ca2,rat
4290,1961,7,12,1,8,326,0.02454
4290,1961,7,12,2,0,165,0.00000
4290,1961,7,13,1,42,453,0.09272
4290,1961,7,13,2,7,262,0.02672
4290,1961,7,14,1,78,627,0.12440
4290,1961,7,14,2,14,421,0.03325
4290,1961,7,15,1,189,1001,0.18881
4290,1961,7,15,2,45,780,0.05769
4290,1961,7,16,1,457,1703,0.26835
4290,1961,7,16,2,103,1156,0.08910
4290,1961,7,17,1,755,2455,0.30754
4290,1961,7,17,2,196,1579,0.12413
4290,1961,7,18,1,1256,3501,0.35875
4290,1961,7,18,2,501,2294,0.21840
4290,1961,7,19,1,1589,4551,0.34915
4290,1961,7,19,2,866,3392,0.25531
4290,1961,7,20,1,2021,5636,0.35859
4290,1961,7,20,2,1499,5085,0.29479
4290,1961,7,21,1,2219,6149,0.36087
4290,1961,7,21,2,2107,6322,0.33328
4290,1961,7,22,1,1956,5623,0.34786
4290,1961,7,22,2,2139,6269,0.34120
4290,1961,7,23,1,1655,4562,0.36278
4290,1961,7,23,2,2011,5720,0.35157
4290,1962,7,1,1,12940,40906,0.31634
4290,1962,7,1,2,9914,35885,0.27627
4290,1962,7,2,1,0,971,0.00000
4290,1962,7,2,2,0,684,0.00000
4290,1962,7,3,1,0,60,0.00000
4290,1962,7,3,2,0,47,0.00000
4290,1962,7,4,1,0,56,0.00000
4290,1962,7,4,2,0,34,0.00000
4290,1962,7,5,1,0,39,0.00000
4290,1962,7,5,2,0,34,0.00000
4290,1962,7,6,1,0,27,0.00000
4290,1962,7,6,2,0,19,0.00000
4290,1962,7,7,1,0,133,0.00000
4290,1962,7,7,2,0,102,0.00000
4290,1962,7,8,1,0,113,0.00000
4290,1962,7,8,2,0,84,0.00000
4290,1962,7,9,1,3,280,0.01071
4290,1962,7,9,2,1,110,0.00909
4290,1962,7,10,1,2,280,0.00714
4290,1962,7,10,2,2,95,0.02105
4290,1962,7,11,1,7,242,0.02893
4290,1962,7,11,2,0,125,0.00000
4290,1962,7,12,1,11,282,0.03901
4290,1962,7,12,2,2,160,0.01250
4290,1962,7,13,1,27,434,0.06221
4290,1962,7,13,2,8,283,0.02827
4290,1962,7,14,1,79,705,0.11206
4290,1962,7,14,2,15,483,0.03106
4290,1962,7,15,1,220,1039,0.21174
4290,1962,7,15,2,47,671,0.07004
4290,1962,7,16,1,454,1735,0.26167
4290,1962,7,16,2,83,1120,0.07411
4290,1962,7,17,1,784,2510,0.31235
4290,1962,7,17,2,241,1577,0.15282
4290,1962,7,18,1,1337,3704,0.36096
4290,1962,7,18,2,492,2327,0.21143
4290,1962,7,19,1,1706,4810,0.35468
4290,1962,7,19,2,890,3473,0.25626
4290,1962,7,20,1,2131,5840,0.36490
4290,1962,7,20,2,1560,5183,0.30098
4290,1962,7,21,1,2398,6789,0.35322
4290,1962,7,21,2,2140,6540,0.32722
4290,1962,7,22,1,2034,5811,0.35003
4290,1962,7,22,2,2244,6565,0.34181
4290,1962,7,23,1,1747,5046,0.34621
4290,1962,7,23,2,2189,6169,0.35484
4290,1963,7,1,1,13019,40805,0.31905
4290,1963,7,1,2,9640,35655,0.27037
4290,1963,7,2,1,0,1014,0.00000
4290,1963,7,2,2,0,721,0.00000
4290,1963,7,3,1,0,56,0.00000
4290,1963,7,3,2,0,41,0.00000
4290,1963,7,4,1,0,50,0.00000
4290,1963,7,4,2,0,25,0.00000
4290,1963,7,5,1,0,28,0.00000
4290,1963,7,5,2,0,26,0.00000
4290,1963,7,6,1,0,29,0.00000
4290,1963,7,6,2,0,22,0.00000
4290,1963,7,7,1,1,144,0.00694
4290,1963,7,7,2,0,75,0.00000
4290,1963,7,8,1,1,111,0.00901
4290,1963,7,8,2,1,74,0.01351
4290,1963,7,9,1,1,313,0.00319
4290,1963,7,9,2,2,152,0.01316
4290,1963,7,10,1,2,307,0.00651
4290,1963,7,10,2,1,114,0.00877
4290,1963,7,11,1,9,251,0.03586
4290,1963,7,11,2,1,130,0.00769
4290,1963,7,12,1,7,286,0.02448
4290,1963,7,12,2,2,183,0.01093
4290,1963,7,13,1,36,429,0.08392
4290,1963,7,13,2,3,252,0.01190
4290,1963,7,14,1,93,636,0.14623
4290,1963,7,14,2,20,449,0.04454
4290,1963,7,15,1,213,1043,0.20422
4290,1963,7,15,2,46,753,0.06109
4290,1963,7,16,1,456,1646,0.27704
4290,1963,7,16,2,92,1094,0.08410
4290,1963,7,17,1,891,2586,0.34455
4290,1963,7,17,2,243,1643,0.14790
4290,1963,7,18,1,1332,3769,0.35341
4290,1963,7,18,2,451,2307,0.19549
4290,1963,7,19,1,1710,4704,0.36352
4290,1963,7,19,2,913,3591,0.25425
4290,1963,7,20,1,2024,5737,0.35280
4290,1963,7,20,2,1478,4926,0.30004
4290,1963,7,21,1,2385,6681,0.35698
4290,1963,7,21,2,2077,6578,0.31575
4290,1963,7,22,1,2052,5932,0.34592
4290,1963,7,22,2,2118,6238,0.33953
4290,1963,7,23,1,1806,5053,0.35741
4290,1963,7,23,2,2192,6261,0.35010
4290,1964,7,1,1,13481,41119,0.32785
4290,1964,7,1,2,10016,35542,0.28181
4290,1964,7,2,1,0,1001,0.00000
4290,1964,7,2,2,0,743,0.00000
4290,1964,7,3,1,0,44,0.00000
4290,1964,7,3,2,0,43,0.00000
4290,1964,7,4,1,0,30,0.00000
4290,1964,7,4,2,0,32,0.00000
4290,1964,7,5,1,0,47,0.00000
4290,1964,7,5,2,0,20,0.00000
4290,1964,7,6,1,0,29,0.00000
4290,1964,7,6,2,0,24,0.00000
4290,1964,7,7,1,0,131,0.00000
4290,1964,7,7,2,0,77,0.00000
4290,1964,7,8,1,0,121,0.00000
4290,1964,7,8,2,1,63,0.01587
4290,1964,7,9,1,2,335,0.00597
4290,1964,7,9,2,0,127,0.00000
4290,1964,7,10,1,3,331,0.00906
4290,1964,7,10,2,2,126,0.01587
4290,1964,7,11,1,2,262,0.00763
4290,1964,7,11,2,0,141,0.00000
4290,1964,7,12,1,10,285,0.03509
4290,1964,7,12,2,3,168,0.01786
4290,1964,7,13,1,38,454,0.08370
4290,1964,7,13,2,8,287,0.02787
4290,1964,7,14,1,97,699,0.13877
4290,1964,7,14,2,11,458,0.02402
4290,1964,7,15,1,211,1036,0.20367
4290,1964,7,15,2,44,696,0.06322
4290,1964,7,16,1,442,1701,0.25985
4290,1964,7,16,2,93,1141,0.08151
4290,1964,7,17,1,900,2711,0.33198
4290,1964,7,17,2,221,1594,0.13864
4290,1964,7,18,1,1333,3656,0.36461
4290,1964,7,18,2,529,2444,0.21645
4290,1964,7,19,1,1883,4962,0.37948
4290,1964,7,19,2,994,3472,0.28629
4290,1964,7,20,1,2180,5878,0.37087
4290,1964,7,20,2,1480,4998,0.29612
4290,1964,7,21,1,2349,6646,0.35345
4290,1964,7,21,2,2156,6489,0.33225
4290,1964,7,22,1,2103,5775,0.36416
